name,countryCode,countryName,year,tei,isai,isli,soi,tpi,auci,uai,notcd,tasi,l3ai,cjci,cjli
Société Générale (FR),FR,France,2021,1480018957983,231965044145,261402882708,238349016061,35030563492654,2614584844687,114657956612,13060601286787,97982155891,20826000000,575118965500,473196039368
Standard Chartered (GB),GB,United Kingdom,2021,866142884298,137055085512,188059573572,98266316726,32690419787319,1522119814964,53518453111,8128723290623,61417559591,3634116192,641624434209,623641288536
State Bank of India (IN),IN,India,2021,686989657247,35529367669,52630617942,61617017231,2553736853307,173069267410,485100167,202937543243,26921470739,1795017668,18938036445,28313766950
State Street (US),US,USA,2021,296653456615,51429962911,238620654220,43100137731,94730239058693,28999307723193, -   ,2243137912514,15591345575, -   ,102029842828,180976514195
Toronto Dominion (CA),CA,Canada,2021,1312375617572,52381673736,32694567323,260804196565,23451238561181,400032546238,126823956713,11754715230414,42179925272,1752240673,576972761938,575213793689
Truist (US),US,USA,2021,550812201951,10862377648,7824342846,113488433680,1144674200824,63994349278,31236093940,237362705253,16631644003,2371534522,3482253222,80346106
UBS (CH),CH,Switzerland,2021,973189800188,224357689663,337873755618,246562599301,22452078983866,4593899516350,104274236259,15028124667205,75021658542,6727882747,585816704861,534633586378
Unicredit (IT),IT,Italy,2021,1010990330800,202931267000,187703846000,132983431700,14476183261000,523201567000,83653160000,5520948879000,12238849000,6572220000,525093754437,467695559194
US Bancorp (US),US,USA,2021,625527547166,24707752072,13551121312,126225498838,10474018187056,2161579551230,31325269288,659620342500,19870210134,3840720466,12107540172,28862793569
Wells Fargo (US),US,USA,2021,2069506720939,156405683685,104443417957,345894328219,51693429656882,3084176988880,227849684770,7861115794626,78619763367,17438636763,159532128524,77115812282
Westpac (AU),AU,Australia,2021,696230739334,22746525765,53886647428,187910982938,7519691318784,3842459,544348383,3072718538369,16286903610,220300993,104913864822,72397694489
ABN AMRO (NL),NL,Netherlands,2020,431043500000,61646332739,32919658637,84544134633,12629552561382,171797000000,8619622188,1448060000000,2464869892,1226000000,73358096006,56550000000
Agricultural Bank (CN),CN,China,2020,3686199994540,241126721745,237073144832,344327780523,43951392191234,1259583383868,280643870251,364743212437,52562838570,11343391034,75016561505,87806191127
ANZ (AU),AU,Australia,2020,665700339141,49905515711,76102903329,131049320581,30034601296458,4864525177,34774849018,6947428472422,21577784347,743583291,143049114706,160323487482
Bank of America (US),US,USA,2020,2683101949007,171222394347,118956890288,486072040009,112738947166757,2852901150460,554752669168,21800417254676,119017195071,8118327769,363474859604,247661152433
Bank of Beijing (CN),CN,China,2020,410444969721,26005831263,56243995683,62131864871,6259289287649,147461065388,9989030811,55995097844,2922240812,508456589,2910893329,4171938366
Bank of China (CN),CN,China,2020,3229188870684,295294436011,274884068311,453731947543,77035670938930,1469123352167,280007586500,1372520530526,105580913290,8998468221,509179643743,579123045372
Bank of Montreal (CA),CA,Canada,2020,687190082609,83772809294,48457123228,155968176082,20030622369055,154391351704,67888501055,4028187126008,24119342682,3030509181,298186366807,281907800586
Bank of Nova Scotia (CA),CA,Canada,2020,834022173916,88067613776,66381853250,159487221212,10527043655933,197711205240,63857882745,3472529762521,29153266981,597975243,304179794175,215559229523
Barclays (GB),GB,United Kingdom,2020,1429869442428,177154213142,201276789122,192756609827,53446146847746,130561827743,342351045003,31818398176056,79959627031,17130685294,645854977008,412938663648
BBVA (ES),ES,Spain,2020,771741929000,64591239170,72552794503,97905514822,14602667360917,419612422000,35394044061,3892741033000,13956927952,3000651000,390015136000,299524768000
BNP Paribas (FR),FR,France,2020,2266866467492,164848959776,215329418632,289010379885,46337581899604,5881269757237,257467488705,20503303533205,69634984406,11907881095,1209785512691,1095450499592
BNY Mellon (US),US,USA,2020,378501018849,68321245246,262602884980,56270882596,158285453586449,26420014681780,32663189650,793269497580,38947111094, -   ,106891858907,153514791046
BoComm (CN),CN,China,2020,1434447560507,144965533857,158857273051,158304393262,23273329444923,1197312678311,99604113034,690213895662,92574882772,8824181953,99902169346,89735742865
BPCE (FR),FR,France,2020,1374353949109,71956221798,116020782989,271838324416,19971049094199,90770074468,63609562833,6129631660224,48489971455,14690745831,208749465859,170254064522
CaixaBank (ES),ES,Spain,2020,409550860986,16118213040,11621042670,49739716124,1159517191677,237368315000,253140450,556899892000,2955393711,834631000,67379397000,38536115000
Capital One (US),US,USA,2020,396170190645,48385747722,3629417327,90180261637,814895972206,5705,4155631980,181629524171,11412343743,518057208,7827397934,817542173
Charles Schwab (US),US,USA,2020,416825279319,18925922917,2945970175,99227446875,543717708687,5432910930888, -   ,6133974414,63511531284, -   ,10121424502,10117349854
China Construction (CN),CN,China,2020,3684955927210,145040295559,266981659172,283637162896,62875869034973,1908336976465,311315353524,525115664289,90829150454,17558035109,106117295384,132375905103
China Everbright (CN),CN,China,2020,800278089677,71745999091,82000374868,88326500116,12014856491040,779162726719,71960859794,275512245709,41980225448,1398317227,16655927637,10467612299
China Guangfa (CN),CN,China,2020,459757223053,38657724994,80095831404,54181987943,10377020060886,352901744232,41854780326,403187242408,22233663570, -   ,835045431,5645347438
China Merchants (CN),CN,China,2020,1171084506321,81130378175,105652767125,194792054016,18661456149777,2009331949884,139880856907,137713556124,48462092955,7362837901,53084755638,66812903218
China Minsheng (CN),CN,China,2020,957564346451,67154558593,151084107922,207569952585,11673136761240,1327064500792,59341471873,422569521533,69983541011,5119850400,13528422508,32766413191
CIBC (CA),CA,Canada,2020,541890748299,38211527557,29139106392,107806207674,11328422061712,1206824026690,47638734751,3554749100445,17348245387,895249793,129807102347,123100632696
CITIC (CN),CN,China,2020,1074826314627,142266772037,157158007455,106849111447,27107874377644,1288126166263,82304642863,633595152304,89513926133,5967840425,53114901627,40426826888
Citigroup (US),US,USA,2020,2335618777129,177885258013,242457827518,431450574738,143890418944835,15215521969865,458738489347,29242850637864,91364192043,13148887628,857909706234,888205525661
Commerzbank (DE),DE,Germany,2020,542939916388,60813011465,74876047073,51617786675,35381922511266,313783885489,53791000000,6621173000000,12856850102,4453314095,180699000000,105157000000
Commonwealth (AU),AU,Australia,2020,718649591337,54233138063,53729134361,205334333303,9083905820626,282216243,1490824188,3105336943173,35110619660,708983392,142381840258,130428811105
Crédit Agricole (FR),FR,France,2020,1861850676125,184341554891,184316157680,234143144126,37163424906338,3195823652156,104844260000,16234393397832,38501648171,9130353391,469581330274,383135048074
Crédit Mutuel (FR),FR,France,2020,859338759181,59561210168,68632148820,170091996000,6036297014350,290966718000,3823404000,564633057974,29407496759,8042703000,117012493000,97566265000
Credit Suisse (CH),CH,Switzerland,2020,851410025544,147865954249,162103539921,215704880641,31668311108488,1721533049604,211582839418,16848185673911,64515426600,14979633403,462158988238,366528788142
